date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
5/31/20,katsandcrows,ericabuddington,1,13,29,Your Black history knowledge has holes in it. This isn’t your fault (*cough* education reform *cough*) but it is YOUR responsibility to now learn the whole story. Read this whole thread! ,,,,1.27E+18,https://twitter.com/katsandcrows/status/1267218261957115904
5/31/20,EricaMiley,Pluyo13,1,0,0,"They aren’t being blamed for Floyd, but for the systemic racism in our country, and worse not doing a damn thing about it. Where’s the police training, the criminal reform, the education reform? No more sound bites - we need a plan to fix this! We need an actual leader!!!!",,,,1.27E+18,https://twitter.com/EricaMiley/status/1267217095273648128
5/31/20,adam3vergreen,vanko_eric,1,0,0,"100% socialist democracy. I 100% do not understand why m4a, gun control, education reform, UBI, and environmental care won’t work. In our current capitalistic society, if it doesn’t turn a profit, it means it’s worthless. Capitalism needs homelessness and unemployment to function",,,,1.27E+18,https://twitter.com/adam3vergreen/status/1267216550244777984
5/31/20,jonnytheheat,SaraCarterDC,0,0,0,"I would not suggest another beer summit. I can probably guess though. Careless accusations (Amy Cooper) resulted in deaths *George Floyd) at the hands of men with guns (Derek Chauvin). That's just for starters. Police abuse, justice reform, education reform or outsourcing jobs... ",,,,1.27E+18,https://twitter.com/jonnytheheat/status/1267213144650387457
5/31/20,LINCOLNLAWYER7,,0,0,0,Defeating the 5th column communist insurgency starts with education reform,,,,1.27E+18,https://twitter.com/LINCOLNLAWYER7/status/1267212754781384714
5/31/20,FckYoPerm,fatbellybella,0,0,1,"I vote on prison repeal, enact new laws with severe punishment for police brutality, outside investigations of every death at the hands of police, education reform and intra-circulation of the black dollar. We start by reclaiming the property in the hood and rebuilding.",,,,1.27E+18,https://twitter.com/FckYoPerm/status/1267211189265801218
5/31/20,educationreform,mikejason73,0,0,1,#riots2020 #SundayThoughts #anonymus,,,#riots2020 #SundayThoughts #anonymus,1.27E+18,https://twitter.com/educationreform/status/1267206596876214275
5/31/20,himeh96,RickiZoo,0,1,3,Education reform? Poverty aid? Flint Michigan? Covid support? These whites need to get their priorities right. Wait... they’re already doing that,,,,1.27E+18,https://twitter.com/himeh96/status/1267203550519541762
5/31/20,realangelsofwar,,0,0,0,THEY WANT YOU TO BE POOR - An Eye Opening Interview https://youtu.be/m6pWEzkbnDE @jakepaul should collab with @richdadedu #woke #educationreform,,@jakepaul @richdadedu,#woke #educationreform,1.27E+18,https://twitter.com/realangelsofwar/status/1267195047671287808
5/31/20,ianmckeown72,lllllll21448408,0,0,1,Lmao reason #173846392 for education reform ,,,,1.27E+18,https://twitter.com/ianmckeown72/status/1267192158009901056
5/31/20,luncholini,,1,0,0,public education reform is much needed in the nation because this is just not cutting it. they used to make us buy 3 notebooks for 1 subject and extra books that the teacher touched less than he touched kids.,,,,1.27E+18,https://twitter.com/luncholini/status/1267190398314622976
5/31/20,Michael2063m,AsraNomani,0,0,1,"And everyone of them who have gerrymandered districts, passed laws making it harder for everyone to vote. Police reform, education reform, prison reform. Need more action. Please vote. Remember in November.",,,,1.27E+18,https://twitter.com/Michael2063m/status/1267186679028371463
5/31/20,SeedsInspire,,0,0,1,#veganfortheanimals #compassion #health #nutrition #forthekids #climate #consciousness #animalrights #environment #educationreform #prisonreform #oneness #immigrationreform #plantbased #vegan #BlackLifesMatter,,,#veganfortheanimals #compassion #health #nutrition #forthekids #climate #consciousness #animalrights #environment #educationreform #prisonreform #oneness #immigrationreform #plantbased #vegan #BlackLifesMatter,1.27E+18,https://twitter.com/SeedsInspire/status/1267186303801516032
5/31/20,CloseUpMitch,,2,0,13,Close up Mitch is pro Universal Health Care. Close Up Mitch doesn't think people need to be billionaires. Close Up Mitch is pro Education Reform. Close Up Mitch is pro Prison Reforn. Close Up Mitch is pro Womans Rights.,,,,1.27E+18,https://twitter.com/CloseUpMitch/status/1267180143543349253
5/31/20,luismen1991,APompliano,4,1,5,Solutions: Prison reform. Police reform. Education reform. Job growth. Infrastructure. Mentorship programs. Body cams. Community policing and outreach. Culture reform. Denouncing violence &amp; drug culture in hip hop that influences young minds. Solutions no one wants to talk about.,,,,1.27E+18,https://twitter.com/luismen1991/status/1267178160426287107
5/31/20,VaclavRomanov,VaclavRomanov,1,0,0,"actions that I applaud. Because I'm a rational person that judges individual cases. Trump's overwhelmingly made bad ones, but he's not exempt from having a handful of decent ones. (His Education Reform theory is my favorite of any I've heard as well for example)",,,,1.27E+18,https://twitter.com/VaclavRomanov/status/1267177150282641414
5/31/20,nathanluecking,ZachTasticMills,1,0,4,.@DFER_DC a corporate education reform group founded by NYC hedge fund managers sent numerous misleading and racist attack mailers against @Janeese4DC. If she wins DFER looses its hold on city council,,@DFER_DC @Janeese4DC,,1.27E+18,https://twitter.com/nathanluecking/status/1267177013154123781
5/31/20,LisaMar81639750,WA_Silenced_Maj,0,0,0,Are you serious; what have we breaded in our Country....INDOCTRINATION CENTERS TO BE BURNT DOWN AND EDUCATION REFORM DUE NOW!!! ,,,,1.27E+18,https://twitter.com/LisaMar81639750/status/1267176356179177473
5/31/20,marksjo1,,1,0,0,"The chief creative officer--delightful title for a a journalist once canned for plagiarism-- shows how his organization, TPUSA, approaches higher education reform. Conservatism is in the best of hands. ",,,,1.27E+18,https://twitter.com/marksjo1/status/1267175081786179587
5/31/20,educationreform,smrwhitetoyou,0,0,1,That's the playbook!,,,,1.27E+18,https://twitter.com/educationreform/status/1267162574304534528
5/31/20,educationreform,rsmale,0,0,0,"So, this president is going to make no attempt to bring this country together. Is there no one in his administration smart enough to say, your comments are making it worse? #riots2020 #protests2020 #BlackLivesMatter",,,#riots2020 #protests2020 #BlackLivesMatter #BlackLivesMatter,1.27E+18,https://twitter.com/educationreform/status/1267161964008087552
5/31/20,educationreform,,0,0,0,#riots2020 #protests2020 #BlackLivesMatter https://twitter.com/CBSNews/status/1267157772346494981,,,#riots2020 #protests2020 #BlackLivesMatter #BlackLivesMatter,1.27E+18,https://twitter.com/educationreform/status/1267159587951697924
5/31/20,fdotny,,2,9,38,"Except it’s not about lunch time or passing periods. It’s about life and death. It’s about income inequality. It’s about education reform, or lack thereof. It’s about healthcare and basic fucking human decency. But they don’t want to hear all that. That’s why voices got loud.",,,,1.27E+18,https://twitter.com/fdotny/status/1267156322488922118
5/31/20,JeanieUSA,elijahdaniel,0,0,0,Alright in addition to education reform they need to change up their technology.,,,,1.27E+18,https://twitter.com/JeanieUSA/status/1267154247272984576
5/31/20,WesleyJohnson_,somedeepstuff1,0,0,0,Don’t disagree. But we did learn them.. Need a whole education reform. But there’s also too much history we didn’t learn to be taught,,,,1.27E+18,https://twitter.com/WesleyJohnson_/status/1267154031035777027
5/31/20,Asrikins,,2,0,13,"I am losing my mind, how do people keep letting history repeat itself? We really have been needing education reform on a massive level",,,,1.27E+18,https://twitter.com/Asrikins/status/1267153850605199360
5/31/20,ManWithoutPants,BrianWivell,0,1,3,Pretty revealing on the actual goals of “Education reform” groups ,,,,1.27E+18,https://twitter.com/ManWithoutPants/status/1267149368269967366
5/31/20,Heisengerm,,1,0,0,"protecting our environment, providing access to affordable housing, and education reform.",,,,1.27E+18,https://twitter.com/Heisengerm/status/1267148584014790656
5/31/20,SaagHashK,SaagHashK,0,0,0,"Topic- History of India,British rule partition politics,RSS, what went wrong will both, Economic Development of both county, roadmap, bureaucracy, minority/majority, Extremism, CAA,Terrorism, Kashmir Issue, Deplomacy, Education, reform, Modernisation. Leadership,UN,Nationalism",,,,1.27E+18,https://twitter.com/SaagHashK/status/1267146935238082560
5/31/20,AmarGup98578889,ishkarnBHANDARI,0,0,0,Education reform and Antihindu movies and webseries r the main ROOT of all problems..when youth will Read and watch good things then automatically all problems will shortout ...and Write directly LOVE JIHAD isme aisa kya h ,,,,1.27E+18,https://twitter.com/AmarGup98578889/status/1267144606795419649
5/31/20,LisaMar81639750,georgeupper,0,0,0,Exactly....the Ebonics and new math era cannot do math or speak English properly. DECADES OF INDOCRINATION has come to our RIOTING IGNORRANT YOUTH MARCH BLISSFULLY INTO CRIMINALS AND TERRORISM and choosing COMMUNISM by trained PENSIONED RADICAL PROFESSORS! EDUCATION REFORM NOW ,,,,1.27E+18,https://twitter.com/LisaMar81639750/status/1267140969603805184
5/31/20,cantbrandthis,,0,0,0,Use the hashtag #noeducationwithoutrepresentation to demand the required teaching of Black and minority authors in all US schools. #protests2020 #riots2020 #BLACK_LIVES_MATTER #JusticeForGeorgeFloyd #blacklivesmatter #bostonprotest #GeorgeFloyd #makechange #now #educationreform,,,#noeducationwithoutrepresentation #protests2020 #riots2020 #BLACK_LIVES_MATTER #JusticeForGeorgeFloyd #blacklivesmatter #blacklivesmatter #bostonprotest #GeorgeFloyd #makechange #now #educationreform,1.27E+18,https://twitter.com/cantbrandthis/status/1267136698376486912
5/31/20,godhelpusall16,,0,0,0,@NYGovCuomo and @NYCMayor AND @joebiden .. I want this law passed...just listening..major police reform and education reform i.e. equality in education funding..not quality by zip code..,,@NYGovCuomo @NYCMayor @JoeBiden,,1.27E+18,https://twitter.com/godhelpusall16/status/1267132646301335557
5/31/20,rambhaktthanos,iamsuraj_s,2,0,0,Did mohalla clinic treated COVID patients? Pura hospitals me he gae the na. Again building 4 walls doesn't mean education reform. Tell me what has he added to the education system? Where do we need a flyover? Do you really stay in Delhi?,,,,1.27E+18,https://twitter.com/rambhaktthanos/status/1267132587060932615
5/31/20,luismen1991,samswey,0,1,3,"These are all good but more is needed unrelated to police reform. Education reform, job creation and this: https://twitter.com/luismen1991/status/1267131595162636290?s=21",,,,1.27E+18,https://twitter.com/luismen1991/status/1267132231329501189
5/31/20,edwards12_jay,edwards12_jay,1,0,0,"As far as the teacher’s union, can’t Trump do something about that? Can’t he help education reform like he was working on the prisons?",,,,1.27E+18,https://twitter.com/edwards12_jay/status/1267129245878411268
5/31/20,abhisheksbaheti,,0,0,0,"@narendramodi ji we believe in your leadership and if we need to compete China in terms of trade we need to build solid technology platforms. We need to utilise our IT, Manufacturing at an extensive level. We need an education reform which majorly focuses on entrepreneurship.",,@narendramodi,,1.27E+18,https://twitter.com/abhisheksbaheti/status/1267129077325983744
5/31/20,UTSurface_lon,,0,1,2,You need to make education individual-centric so no one slips through the net. R is for...education reform.,,,,1.27E+18,https://twitter.com/UTSurface_lon/status/1267127853608468484
5/31/20,rambhaktthanos,iamsuraj_s,2,0,0,I am from Delhi my self. Pls tell a new flyover built-in the last 5 years. Constructing 4 walls doesn't make schools good. Not one education reform is done by him. Free electricity and water are the not reason he was won. Kindly visit south Delhi roads are worst then ever.,,,,1.27E+18,https://twitter.com/rambhaktthanos/status/1267127836743254016
5/31/20,Fromgirltogirl,,0,0,0,"Truly reform the #education system in America, including the lack of diverse narratives in both #worldhistory and #americanhistory . #humanrights #civilrights #history #educationreform #usa #racismisreal… https://www.instagram.com/p/CA28YnzhT3n/?igshid=1vyd832c09eqw",,,#education #worldhistory #americanhistory #humanrights #civilrights #history #educationreform #usa #racismisreal,1.27E+18,https://twitter.com/Fromgirltogirl/status/1267126736979922944
5/31/20,crystalthomison,BerniceKing,0,0,0,"You’re so quick to quote him on his preference for nonviolence but not on his stances relating to homelessness, the economic gap, family planning, education reform and so many others that don’t fit your agenda. ",,,,1.27E+18,https://twitter.com/crystalthomison/status/1267125786009653248
5/31/20,wcp,,0,3,2,"For an organization focused on improving education for low-income and minority students, Democrats for Education Reform DC is making a lot of noise about almost anything. Except education. ",,,,1.27E+18,https://twitter.com/wcp/status/1267123676584898561
5/31/20,djmonette,Sundae_Gurl,0,0,1,"Pass disinformation laws on major social media and news outlets Pass campaign finance policies Education reform, teach people how to handle disinformation propaganda Can’t let the lens of history be written by a partisan author. We still haven’t recovered from the Civil War",,,,1.27E+18,https://twitter.com/djmonette/status/1267121508746506243
5/31/20,punkrockteach,JamesTreakle,0,0,1,yes...and education reform and healthcare reform,,,,1.27E+18,https://twitter.com/punkrockteach/status/1267118682905313280
5/31/20,SempOfWar,,0,1,1,"""Do not train a child to learn by force or harshness; but direct them to it by what amuses their minds, so that you may be better able to discover with accuracy the peculiar bent of the genius of each."" - Plato (Education Reform)",,,,1.27E+18,https://twitter.com/SempOfWar/status/1267115504180789253
5/31/20,SaagHashK,Arzookazmi30,0,0,0,"Topic- History of India,British rule partition politics,RSS, what went wrong will both, Economic Development of both county, roadmap, bureaucracy, minority/majority, Extremism, CAA,Terrorism, Kashmir Issue, Deplomacy, Education, reform, Modernisation. Leadership,UN,Nationalism",,,,1.27E+18,https://twitter.com/SaagHashK/status/1267112660543385604
5/31/20,SaagHashK,SaagHashK,0,0,0,"Topic- History of India,British rule partition politics,RSS, what went wrong will both, Economic Development of both county, roadmap, bureaucracy, minority/majority, Extremism, CAA,Terrorism, Kashmir Issue, Deplomacy, Education, reform, Modernisation. Leadership,UN,Nationalism",,,,1.27E+18,https://twitter.com/SaagHashK/status/1267112072279666688
5/31/20,kcivey,bmaz,0,0,0,"It's good that she's come around on him. But Brandon Todd, her hand-picked successor to her council seat, is running for reelection with mailers funded by ""Democrats"" for Education Reform attacking his challenger, Janeese Lewis George, for opposing militarization of police. ",,,,1.27E+18,https://twitter.com/kcivey/status/1267111813017210882
5/31/20,roujeenara,ClayTravis,0,4,9,"WE CANNOT CONTINUE VOTING FOR “DEMOCRATIC” LEADERS WHO LIE TO WIN OUR VOTE. WE NEED LEADERS WHO WILL REFORM THESE UNJUST SYSTEMS. WE NEED POLICING REFORM, HOUSING REFORM, HEALTHCARE REFORM, EDUCATION REFORM, WELFARE REFORM, VOTING REFORM, AND SO ON BEFORE WE START TO SEE EQUALITY ",,,,1.27E+18,https://twitter.com/roujeenara/status/1267111264536481792
5/31/20,GabriellaAlice5,,0,2,11,i- ... can education reform be next ,,,,1.27E+18,https://twitter.com/GabriellaAlice5/status/1267111080280625154
5/31/20,JorgeMAlmeida_,ApostateUrban,1,0,0,"school shootings seem more to do with gun safety and control. as for education reform, teachers quality and pay is part of that, so it is relevant now, after the standard of education is changed and normalised then we can talk about private-public comparisons",,,,1.27E+18,https://twitter.com/JorgeMAlmeida_/status/1267100139379986432
5/31/20,TheWhig,FriedrichHayek,0,0,8,"Spot on. This is part of why I’ve been arguing for years that Heterodox Academy’s goal of increased viewpoint/intellectual diversity in higher ed is woefully too little too late, and why K-12 education reform to restore its true purpose of the Telos of Truth is long overdue. ",,,,1.27E+18,https://twitter.com/TheWhig/status/1267099912992325633
5/31/20,RaktaCharitraa,WirSindTot,0,0,1,Xi Jinping. The Madlad pissed off all the Neighbors at the same time. Started a Trade War which he is winning. Pushed for Defence Reforms. Has started localising Communism. Brought the biggest Education reform for Uyghurs. &amp; Bankrupted small Nations. Modiji need to up his game. ,,,,1.27E+18,https://twitter.com/RaktaCharitraa/status/1267098938190028800
5/31/20,JOliver50642719,nytimes,0,0,0,"Agreed. Three things that would help tremendously: education reform and funding, mandatory minimum wage increases based on the cost of living and national healthcare. These are a must. ",,,,1.27E+18,https://twitter.com/JOliver50642719/status/1267096364292472833
5/31/20,Trudy_Davies,ImSporticus,0,0,1,I absolutely love Joe & been working out with friends from afar on both Skype and WhatsApp. Yes put him on a committee but please can we actually get real teachers who know the constraints of the curriculum & work with children every day to review education reform committees too.,,,,1.27E+18,https://twitter.com/Trudy_Davies/status/1267093451063144448
5/31/20,jadedballs,hoopslifer,1,0,18,"you're a fool thinking you know what that is feeling. he's been an activist, specifically for education reform in poor communities. bet you didn't care to know that, you'd rather spew foolishness.",,,,1.27E+18,https://twitter.com/jadedballs/status/1267092459051515904
5/31/20,broeybeats,,0,0,2,In addition to police reform we also need education reform. The cycle continues until a change is made. We need to focus on all areas of change not just one,,,,1.27E+18,https://twitter.com/broeybeats/status/1267090608008712192
5/31/20,christen_rexing,christen_rexing,1,0,1,"2) education reform should include focus on boards of education &amp; school boards, specifically in key states who dictate book sales for history/civics Examples: https://www.google.com/amp/s/www.washingtonpost.com/outlook/2018/09/21/once-again-texass-board-education-exposed-how-poorly-we-teach-history/%3foutputType=amp http://www.socialstudies.org/sites/default/files/publications/se/6003/600310.html http://www.socialstudies.org/sites/default/files/publications/se/6003/600310.html https://www.google.com/amp/s/www.vox.com/platform/amp/identities/2019/8/26/20829771/slavery-textbooks-history",,,,1.27E+18,https://twitter.com/christen_rexing/status/1267090287073132545
5/31/20,MarkivOar,Iyervval,0,1,2,"Governance issue is across the board. A minister once proudly announced that govt never changed a word in any of the school books. Education reform is a fairly low hanging fruit. Not addressed for 6 years.If a govt can't handle edu,def/economy can be buried for ever.Hopeless.",,,,1.27E+18,https://twitter.com/MarkivOar/status/1267087127701061634
5/31/20,DJay_Rider,JStein_WaPo,0,0,0,"Mass Defunding of police force (start with ARs, riot gear, tanks, et al) and reinvest that money into federally funded education reform targeting poor immunities. Mandatory and frequent psych evals, sensitivity training, race history courses, and post traumatic therapy for cops",,,,1.27E+18,https://twitter.com/DJay_Rider/status/1267086709638004739
5/31/20,OG_Kenobi_Hello,HollyWe84373857,0,0,0,"No, absolutely not. I apologize if my remarks came off that way. If we are talking about Chicago gun violence, I blame loose gun laws in Indiana. But the killing has to stop and black neighborhoods need to thrive again. IMO that starts with crim. justic & education reform.",,,,1.27E+18,https://twitter.com/OG_Kenobi_Hello/status/1267082923037130753
5/31/20,ShutUppLaura,,0,16,27,Today at 5pm at the Ossining Waterfront there will be a Forum for a Plan for Action hosted and organized by @Jalay_33. We will be discussing ways to make change in our community by way of education reform. All are welcome to attend. We ask that you wear a mask,,@Jalay_33,,1.27E+18,https://twitter.com/ShutUppLaura/status/1267082026403971073
5/31/20,JasonMorton_MEd,,0,0,0,"If your city had to name four community leaders one per area to meet with local officials who would they be? Criminal Justice reform Health reform Education reform Economic reform Organize, have a agenda",,,,1.27E+18,https://twitter.com/JasonMorton_MEd/status/1267080683035320320
5/31/20,Econ_Marshall,Econ_Marshall,0,12,25,"As @BisforBerkshire &amp; @_davidrohmer informed me, these pro-cop Dem primary mailers were paid for by Democrats for Education Reform, the anti-union front group whose puppet the incumbent is. Pro-cop, anti-teacher: the Democratic Party in a nutshell. ",,@BisforBerkshire @_davidrohmer,,1.27E+18,https://twitter.com/Econ_Marshall/status/1267077014986657794
5/31/20,Aderinolaaa,BankoleSamia,1,0,0,You said it well. I remember how history was painted as a less critical subject with Mr. Ola then. Overall I hope we get the education reform that we so badly need. I know it’s going to take a long time to get there sadly.,,,,1.27E+18,https://twitter.com/Aderinolaaa/status/1267075864073842688
5/31/20,3500fortheGOAT,,0,0,0,Education reform needed,,,,1.27E+18,https://twitter.com/3500fortheGOAT/status/1267072107583807490
5/31/20,BisforBerkshire,Econ_Marshall,0,0,7,This mailer is brought to you by Democrats for Education Reform,,,,1.27E+18,https://twitter.com/BisforBerkshire/status/1267071967200456705
5/31/20,rettaworld,TahirDuckett,0,1,4,"Exactly. This has been what’s keeping me up at night. And, in the middle of all this, yesterday I got my 7th/8th campaign mailer from Democrats for Education Reform blasting Janeese for supporting investments in evidence-based, community-led, public health approaches to safety.",,,,1.27E+18,https://twitter.com/rettaworld/status/1267062970254798848
5/31/20,KuroMatsuri,pufpufpafpaf,1,1,3,It's hard to learn from history when your classes are designed to make America look good. We need education reform too.,,,,1.27E+18,https://twitter.com/KuroMatsuri/status/1267059256068575232
5/31/20,Schilling28,trussleadership,0,0,9,This white woman knows white supremacy exists in our educational system from kindergarten through higher ed. People of privilege have the power to change it. WE have an obligation to do something. Join me! #EducationReform #BlackLivesMatter,,,#EducationReform #BlackLivesMatter #BlackLivesMatter,1.27E+18,https://twitter.com/Schilling28/status/1267057961983193091
5/31/20,yashodaskanda,A_prachya,2,1,1,Very valuable question.. for that we need an education reform. This is same methodology that communist CCO adopted in its main manifesto. Watch this video series.. very informative! ,,,,1.27E+18,https://twitter.com/yashodaskanda/status/1267057550156947457
5/31/20,WittyRedKopZulu,,0,0,2,"Speeches, videos, protests, movies will mean nothing if ppl, system, society in US reverts to its normal self after everything dies down...this will take decades to eradicate & will have to start thru education &amp; reform in every part of society starting from commander in chief.",,,,1.27E+18,https://twitter.com/WittyRedKopZulu/status/1267037703788429318
5/31/20,firelight6149,Exacts_Bitch,0,0,0,"He doesn't deserve to be called ""FaThEr oF nAtIoN"" the man is sick and I'm saying this as an Indian. This is how our history has been whitewashed and generations are systematically fed crap while real heroes are still not known or painted with dirt. Sad. Education reform needed.",,,,1.27E+18,https://twitter.com/firelight6149/status/1267030765801476096
5/31/20,mgalligan_egs,gregfoley2002,0,8,24,I would beg anyone involved with or interested in JC & LC Education reform to read this. ,,,,1.27E+18,https://twitter.com/mgalligan_egs/status/1267027278040629248
5/31/20,keybug55,,0,0,1,"You know, a big part of me wants to be a disability advocate specifically pushing against mental disability discrimination Education reform and all that Been just too scared/emotional to put it into words",,,,1.27E+18,https://twitter.com/keybug55/status/1267017996830203907
5/31/20,ting34375246,RichardMHeim,5,3,82,You can thank Obama’a education reform and sweeping left wing college institutions during his presidency for that.,,,,1.27E+18,https://twitter.com/ting34375246/status/1267008109576359948
5/31/20,molotovrockstar,EmilyGorcenski,0,0,1,Education reform* fund Schools not cops.,,,,1.27E+18,https://twitter.com/molotovrockstar/status/1267005798745399298
5/31/20,NWoodsGnome,,0,0,1,"Anyone else thinking that without serious higher education reform, the environment for what we're seeing will continue to be fostered?",,,,1.27E+18,https://twitter.com/NWoodsGnome/status/1266994767608426496
5/31/20,luismen1991,TheKingDream,0,1,3,"@realDonaldTrump can harness this energy against the Antifa rioters. Condemn Floyd’s murderer more, announce independent autopsy. Propose legislation for mandatory body cams, continue his prison reform, and focus on job creation and education reform. ",,@realDonaldTrump,,1.27E+18,https://twitter.com/luismen1991/status/1266988960368263170
5/31/20,eraser,,0,0,0,The Path & Thinking of Education Reform Driven by Blockchain Technology. Liping Li https://medium.com/t5es/the-path-and-thinking-of-education-reform-driven-by-blockchain-technology-f1f8f927e335?source=friends_link&amp;sk=9f16a087fdeb6844a250c053046d72b9 @eraser en #T5eS Emergencia y Esclavitud Digital #blockchain #technology #tecnología #digitaltransformation #transformaciónDigital #education #EDtech #TIC #sharingEconomy,,@eraser,#T5eS #blockchain #technology #tecnolog #digitaltransformation #transformaci #education #EDtech #TIC #sharingEconomy,1.27E+18,https://twitter.com/eraser/status/1266987859489234945
5/31/20,cuteboyonline,cuteboyonline,0,0,0,like idk if you want a revolution i think there should be a concerted effort at reforming agents of socialization LIKE SCHOOLS so that The People can really KNOW whats going on!!!!!!!!!! education reform wont come soon so this is something WE should take on OURSELVES!!!!! ,,,,1.27E+18,https://twitter.com/cuteboyonline/status/1266985848853143552
5/31/20,NickTheHun,LibertyJosie,4,0,1,"Ok, this is an idea. Yes, this needs to happen but how would go about doing this? And why does there need to be education reform if race displaced urban communities. I thought that didn’t exist?",,,,1.27E+18,https://twitter.com/NickTheHun/status/1266985794364817409
5/31/20,JayeshNagda9,ARanganathan72,0,0,0,"not only 56inch should recognize taiwan and also raise tibet issue in UN and must throw out Huawei and ZTE out of india market. minister RSP is big letdown for our PM yet he is tolerating inefficient ministers like RSP n PJavdekar cant deliver education reform, ban NDTV n gang",,,,1.27E+18,https://twitter.com/JayeshNagda9/status/1266984600347136000
5/31/20,TRFletcher,ddmeyer,0,0,0,A good education reform thread at this time ,,,,1.27E+18,https://twitter.com/TRFletcher/status/1266978443591184385
5/31/20,rachelapdsmith,,0,0,0,Time to dismantle the two-party system. Maybe it takes four more years to be United but we need a third party in favor of: Individual Liberty Community oversight of all police Decentralization of power Better checks & balances Prison reform End war on drugs Education reform,,,,1.27E+18,https://twitter.com/rachelapdsmith/status/1266976474248208385
5/31/20,Ay_E_IOU,,0,2,4,Change will never happen until more people who desire change try to get into office... and that will never happen unless education reform happens... and that will never happen until....... it’s a long list of things necesssry to TRULY reshape the country.,,,,1.27E+18,https://twitter.com/Ay_E_IOU/status/1266972477583958017
5/31/20,Spud914,sahluwal,0,0,0,Show me this video. Show me videos of looters. Show me videos of stores on fire. Show me all of them until we have legitimate change. Police reform. Prison reform. Education reform. Political reform. Literally anything. ,,,,1.27E+18,https://twitter.com/Spud914/status/1266966055869722624
5/31/20,branflakeassMAN,FlatAnimeChest,0,1,16,lmaoooo shit. is it too late to riot for public education reform?,,,,1.27E+18,https://twitter.com/branflakeassMAN/status/1266955551050784768
5/31/20,andrew_amarone,ahardtospell,1,0,2,"This is a good take. Like how education reform should happen locally, but teachers unions make it near impossible.",,,,1.27E+18,https://twitter.com/andrew_amarone/status/1266954942109155329
5/31/20,twelvenot12,JaVonniBrustow,0,0,1,Stupid ppl really like being stupid so education reform is quite the uphill climb. Good luck,,,,1.27E+18,https://twitter.com/twelvenot12/status/1266953951146127362
5/31/20,Jesselaurence,Jesselaurence,1,0,1,Do these actions of others negate the justice that should be done for one person and for those before him and for those to come? Does the reactionary people's actions deserve to stall system and education reform that would promote healthier society w healthier mindsets?,,,,1.27E+18,https://twitter.com/Jesselaurence/status/1266951318024753152
5/31/20,jorpieratti,hugedumbloser,0,5,27,education reform is such a crucial step in bringing equality to the black community! the underfunded and poorly operated public school systems in black communities continue the oppression and sets minority children up for failure! ,,,,1.27E+18,https://twitter.com/jorpieratti/status/1266948693078487041
